STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,SK,Slovakia,2021,,1386,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,SK,Slovakia,2022,,1317,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,SK,Slovakia,2023,,1370,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2009,,6203,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2010,,6236,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2011,,6189,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2012,,6371,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2013,,7455,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2014,,6841,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2015,,6587,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2016,,6837,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2017,,8908,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2018,,10993,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2019,,11655,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2020,,12474,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2021,,12877,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2022,,12942,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,TR,Türkiye,2023,,13639,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKC-L,England and Wales,2011,,5635,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKC-L,England and Wales,2012,,5570,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKC-L,England and Wales,2013,,5505,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKC-L,England and Wales,2014,,5242,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKC-L,England and Wales,2015,,5096,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKC-L,England and Wales,2016,,4920,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKM,Scotland (NUTS 2021),2008,,263,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKM,Scotland (NUTS 2021),2009,,264,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKM,Scotland (NUTS 2021),2010,,257,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKM,Scotland (NUTS 2021),2011,,262,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKM,Scotland (NUTS 2021),2012,,252,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKM,Scotland (NUTS 2021),2013,,259,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKM,Scotland (NUTS 2021),2014,,258,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKM,Scotland (NUTS 2021),2015,,254,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKM,Scotland (NUTS 2021),2017,,263,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKN,Northern Ireland (UK) (NUTS 2021),2013,,132,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKN,Northern Ireland (UK) (NUTS 2021),2014,,140,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,UKN,Northern Ireland (UK) (NUTS 2021),2015,,139,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2008,,296,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2009,,281,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2010,,246,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2011,,253,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2012,,351,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2013,,316,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2014,,323,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2015,,346,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2016,,330,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2017,,394,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2018,,394,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,XK,Kosovo*,2019,,419,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2014,,12.47,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2015,,12.334,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2017,,13.80,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2018,,12.58,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2019,,12.09,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2020,,12.72,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2021,,13.11,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2022,,8.77,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2023,,8.87,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2008,,27.97,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2009,,28.09,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2010,,28.11,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2011,,28.14,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2012,,28.19,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2013,,28.27,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2014,,4.58,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2015,,4.58,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2016,,4.54,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2017,,4.48,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2018,,4.40,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2019,,4.45,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2020,,4.43,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2021,,4.39,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2022,,4.32,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2023,,4.35,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2008,,25.42,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2009,,25.03,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2010,,27.34,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2011,,27.84,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2012,,28.26,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2010,,22.69,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2011,,22.20,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2012,,22.10,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2013,,21.73,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2014,,22.23,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2015,,21.85,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2017,,14.24,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2018,,13.90,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2019,,13.80,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2020,,13.39,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2013,,30.04,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2014,,30.38,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2015,,30.89,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2016,,31.52,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2017,,31.47,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2018,,31.53,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2019,,31.64,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2020,,31.43,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2021,,31.69,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2022,,33.75,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2023,,34.65,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2008,,16.18,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2009,,14.14,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2010,,14.67,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2012,,15.98,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2016,,15.02,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2018,,14.43,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2020,,15.14,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2008,,12.75,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2009,,12.17,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2010,,12.70,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2011,,11.91,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2012,,11.83,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2013,,11.90,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2014,,11.77,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2015,,13.34,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2016,,13.08,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2017,,13.92,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2018,,13.65,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2019,,6.96,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2020,,7.55,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2021,,7.14,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2022,,7.74,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2023,,7.48,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2008,,29.43,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2009,,29.05,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2010,,29.28,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2011,,29.07,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2012,,29.08,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2013,,7.38,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2014,,7.25,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2015,,7.25,,,,,
